timestamp	msgtype	repeat	mmsi	status	turn	speed	accuracy	lon	lat	course	heading	second	maneuver	raim	radio
2017-07-21Z00:07:49.446237	1	0	235080023	0	0	0.0	0	4.24829	51.91727	309.7	3.1	48	0	0	34618	
2017-07-21Z00:08:06.569006	1	0	23303610	15	-128	0.0	1	4.25051	51.92083	0.0	51.1	6	0	1	16416	
2017-07-21Z00:08:15.171234	1	0	244660374	15	-128	0.0	0	4.25146	51.91369	303.8	51.1	15	0	1	2264	
2017-07-21Z00:08:20.739985	1	0	244660375	15	-128	0.0	0	4.25059	51.91398	311.9	51.1	21	0	1	16416	
2017-07-21Z00:08:29.261082	1	0	235080023	0	0	0.0	0	4.24828	51.91727	290.5	3.1	28	0	0	115263	
2017-07-21Z00:08:38.845044	1	0	235080023	0	0	0.0	0	4.24828	51.91728	313.9	3.1	38	0	0	115262	
2017-07-21Z00:08:41.549044	1	0	244660375	15	-128	0.0	0	4.2506	51.91399	313.4	51.1	42	0	1	83020	
2017-07-21Z00:08:45.563470	1	0	244660374	15	-128	0.0	0	4.25148	51.91369	305.1	51.1	46	0	1	16416	
2017-07-21Z00:08:49.412474	1	0	235080023	0	0	0.0	0	4.24828	51.91728	319.1	3.1	48	0	0	16416	
2017-07-21Z00:08:50.559125	1	0	244660375	15	-128	0.0	0	4.2506	51.91399	313.4	51.1	51	0	1	50251	
2017-07-21Z00:08:55.393175	1	0	244660374	15	-128	0.0	0	4.25147	51.91369	305.5	51.1	56	0	1	50193	
2017-07-21Z00:09:00.062141	1	0	235080023	0	0	0.0	0	4.24827	51.91729	310.5	3.1	59	0	0	32768	
2017-07-21Z00:09:00.472712	1	0	244660375	15	-128	0.0	0	4.25059	51.914	313.0	51.1	1	0	1	65552	
2017-07-21Z00:09:05.879767	1	0	244660374	15	-128	0.1	0	4.25146	51.91369	306.6	51.1	6	0	1	50193	
2017-07-21Z00:09:10.054949	3	0	235080023	0	0	0.0	0	4.24827	51.91729	322.1	3.1	9	0	0	947	
2017-07-21Z00:09:15.545349	1	0	244660374	15	-128	0.0	0	4.25146	51.91367	307.7	51.1	16	0	1	82960	
2017-07-21Z00:09:17.020789	3	0	235115088	5	-128	0.0	1	4.24842	51.9174	210.8	51.1	16	0	1	85738	
2017-07-21Z00:09:20.295487	1	0	235080023	0	0	0.0	0	4.24827	51.91729	322.5	3.1	19	0	0	2224	
2017-07-21Z00:09:29.306024	1	0	235080023	0	0	0.0	0	4.24827	51.91729	300.5	3.1	28	0	0	99399	
2017-07-21Z00:09:45.608766	1	0	244660374	15	-128	0.0	0	4.25148	51.91367	307.7	51.1	46	0	1	2271	
2017-07-21Z00:09:49.378715	1	0	235080023	0	0	0.0	0	4.24826	51.91729	314.6	3.1	48	0	0	2280	
2017-07-21Z00:09:50.525320	1	0	244660375	15	-128	0.0	0	4.25059	51.91405	315.7	51.1	51	0	1	34661	
2017-07-21Z00:09:55.438178	1	0	244660374	15	-128	0.0	0	4.25148	51.91367	307.8	51.1	56	0	1	34843	
2017-07-21Z00:10:00.518143	1	0	244660375	15	-128	0.0	0	4.25059	51.91404	315.1	51.1	1	0	1	50246	
2017-07-21Z00:10:11.659051	3	0	244660375	15	-128	0.0	0	4.25059	51.91403	313.8	51.1	12	0	1	23507	
